,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
503,100,1,6,0,0.158113883,10,0.2,0,0,1
505,101,1,6,0,0.158113883,10,0.2,0,0,1
508,110,1,6,0,0.158113883,10,0.2,0,0,1
509,111,1,6,0,0.158113883,10,0.2,0,0,1
515,1101,1,6,0,0.158113883,10,0.2,0,0,1
516,1100,1,6,0,0.158113883,10,0.2,0,0,1
517,1110,1,6,0,0.158113883,10,0.2,0,0,1
519,1111,1,6,0,0.158113883,10,0.2,0,0,1
8,10000,0,296,10,0.092057462,1.593220339,0.627659574,0.459497806,171,0
9,10001,0,294,10,0.021402925,1.604095563,0.623404255,0.462814958,170,0
10,10010,0,296,10,0.092057462,1.593220339,0.627659574,0.459497806,171,0
11,10011,0,294,10,0.021402925,1.604095563,0.623404255,0.462814958,170,0
520,10100,1,6,0,0.158113883,10,0.2,0,0,1
521,10101,1,6,0,0.158113883,10,0.2,0,0,1
523,10110,1,6,0,0.158113883,10,0.2,0,0,1
529,10111,1,6,0,0.158113883,10,0.2,0,0,1
533,11100,1,6,0,0.158113883,10,0.2,0,0,1
534,11101,1,6,0,0.158113883,10,0.2,0,0,1
535,11110,1,6,0,0.158113883,10,0.2,0,0,1
19,1000,0,133,1,0.204124145,1.075757576,0.929577465,0.050560703,121,0
20,1010,0,133,1,0.204124145,1.075757576,0.929577465,0.050560703,121,0
21,1,0,463,7,0.141421356,1.023809524,0.976744186,0.000563212,459,0
536,11111,1,6,0,0.158113883,10,0.2,0,0,1
23,1011,0,133,1,0.204124145,1.075757576,0.929577465,0.050560703,121,0
24,11,0,463,7,0.141421356,1.023809524,0.976744186,0.000563212,459,0
537,100101,1,6,0,0.158113883,10,0.2,0,0,1
26,1001,0,133,1,0.204124145,1.075757576,0.929577465,0.050560703,121,0
538,100100,1,6,0,0.158113883,10,0.2,0,0,1
539,100110,1,6,0,0.158113883,10,0.2,0,0,1
540,100111,1,6,0,0.158113883,10,0.2,0,0,1
