,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
43,1001,3,40,0,0.981495458,4,1.75,0,38,1
44,1000,3,40,0,0.981495458,4,1.75,0,38,1
59,1000,4,40,0,0.981495458,4,1.75,0,38,1
3,1001,0,147,14,0.039073233,1.657534247,0.603305785,0.281338605,79,0
4,1000,0,147,14,0.039073233,1.657534247,0.603305785,0.281338605,79,0
60,1001,4,40,0,0.981495458,4,1.75,0,38,1
76,1000,5,40,0,0.981495458,4,1.75,0,38,1
79,1001,5,40,0,0.981495458,4,1.75,0,38,1
39,11001,2,40,0,0.790569415,4,1,0,38,0
9,11000,0,120,1,0.223606798,1.336134454,0.748427673,0.218495109,78,0
10,11001,0,120,1,0.223606798,1.336134454,0.748427673,0.218495109,78,0
40,11000,2,40,0,0.790569415,4,1,0,38,0
52,11001,3,40,0,0.790569415,4,1,0,38,0
55,11000,3,40,0,0.790569415,4,1,0,38,0
6,10100,0,40,0,0.474341649,4,0.5,0,31,0
7,10101,0,40,0,0.474341649,4,0.5,0,31,0
8,11100,0,40,0,0.474341649,4,0.5,0,31,0
17,1000,1,80,2,0.872871561,1.987341772,1.006369427,0.974519257,39,0
11,11101,0,40,0,0.474341649,4,0.5,0,31,0
16,10101,1,40,0,0.474341649,4,0.5,0,31,0
20,1001,1,80,2,0.872871561,1.987341772,1.006369427,0.974519257,39,0
21,101,2,39,0,0.577350269,4,0.75,0,31,0
18,10100,1,40,0,0.474341649,4,0.5,0,31,0
23,100,2,39,0,0.577350269,4,0.75,0,31,0
24,11000,1,79,2,0.832050294,2,1,0.974358974,38,0
25,1000,2,58,9,0.258904353,3.824561404,0.78440367,0.780310271,39,0
26,1100,2,39,0,0.577350269,4,0.75,0,31,0
27,1001,2,58,9,0.258904353,3.824561404,0.78440367,0.780310271,39,0
28,11001,1,79,2,0.832050294,2,1,0.974358974,38,0
29,1101,2,39,0,0.577350269,4,0.75,0,31,0
30,10001,0,160,0,0.301511345,1,1,0,158,0
31,1,0,243,0,1,1,1,0,241,0
32,10100,2,39,0,0.632455532,4,0.75,0,31,0
33,10000,0,160,0,0.301511345,1,1,0,158,0
34,10101,2,39,0,0.632455532,4,0.75,0,31,0
35,100,3,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
36,11101,2,39,0,0.632455532,4,0.75,0,31,0
37,11100,2,39,0,0.632455532,4,0.75,0,31,0
38,101,3,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
19,11101,1,40,0,0.474341649,4,0.5,0,31,0
22,11100,1,40,0,0.474341649,4,0.5,0,31,0
41,1101,3,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
42,1100,3,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
0,101,0,40,0,0.400891863,4,0.5,0,31,0
1,100,0,40,0,0.400891863,4,0.5,0,31,0
45,10100,3,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
46,1,1,242,0,1,1,2,0,240,0
47,10101,3,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
48,10000,1,159,0,0.666666667,1,2,0,157,0
49,11100,3,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
50,11101,3,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
51,10001,1,159,0,0.666666667,1,2,0,157,0
2,1101,0,40,0,0.400891863,4,0.5,0,31,0
53,100,4,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
54,101,4,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
5,1100,0,40,0,0.400891863,4,0.5,0,31,0
56,1100,4,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
57,1101,4,33,8,0.311651146,4.75,1.052631579,1.1171875,26,0
58,1,2,241,0,1,1,3,0,239,0
12,100,1,40,0,0.400891863,4,0.5,0,31,0
13,101,1,40,0,0.400891863,4,0.5,0,31,0
61,10100,4,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
62,10101,4,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
63,10000,2,158,0,0.904534034,1,3,0,156,0
64,11101,4,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
65,11100,4,33,8,0.335658557,4.75,1.052631579,1.1171875,26,0
66,10001,2,158,0,0.904534034,1,3,0,156,0
67,100,5,32,8,0.619139187,4.774193548,1.466216216,1.154711154,25,0
68,101,5,32,8,0.619139187,4.774193548,1.466216216,1.154711154,25,0
69,11001,4,39,0,1,4,2,0,37,0
70,11000,4,39,0,1,4,2,0,37,0
71,1,3,240,0,1,1,4,0,238,0
72,1101,5,32,8,0.619139187,4.774193548,1.466216216,1.154711154,25,0
73,1100,5,32,8,0.619139187,4.774193548,1.466216216,1.154711154,25,0
74,10000,3,157,0,0.9701425,1,4,0,155,0
75,10100,5,32,8,0.66395281,4.774193548,1.466216216,1.154711154,25,0
14,1101,1,40,0,0.400891863,4,0.5,0,31,0
77,10101,5,32,8,0.66395281,4.774193548,1.466216216,1.154711154,25,0
78,10001,3,157,0,0.9701425,1,4,0,155,0
15,1100,1,40,0,0.400891863,4,0.5,0,31,0
80,11000,5,39,0,1,4,2,0,37,0
81,11100,5,32,8,0.66395281,4.774193548,1.466216216,1.154711154,25,0
82,11101,5,32,8,0.66395281,4.774193548,1.466216216,1.154711154,25,0
83,11001,5,39,0,1,4,2,0,37,0
84,1,4,239,0,1,1,5,0,237,0
85,1,5,237,0,1,1,6,0,235,0
86,10000,4,156,0,1,1,5,0,154,0
87,10001,4,156,0,1,1,5,0,154,0
88,10000,5,152,0,1,1,6,0,150,0
89,10001,5,152,0,1,1,6,0,150,0
