,encode,set_num,ign_len,rep_time,data_block_delta,similarity,label
986,101010111,1,2,14.0,5.0,0.30316953129541624,0
987,101011000,1,2,16.0,4.0,0.1846372364689991,0
988,101011001,1,2,14.0,5.0,0.27668578554642986,0
989,101011010,1,2,16.0,4.0,0.1846372364689991,0
990,101011011,1,2,14.0,5.0,0.27668578554642986,0
991,101011100,1,2,16.0,4.0,0.21650635094610968,0
992,101011101,1,2,14.0,5.0,0.29250896965085227,0
993,101011110,1,2,16.0,4.0,0.21650635094610968,0
994,101011111,1,2,14.0,5.0,0.29250896965085227,0
995,101100001,2,2,13.0,4.0,0.21155615287496937,0
996,101100010,2,2,14.0,3.5,0.1377235547168526,0
997,101100011,2,2,13.0,4.0,0.1863230537914146,0
998,101100100,1,2,16.0,4.0,0.42426406871192845,1
999,101100101,1,2,14.0,5.0,0.3628873693012116,0
1000,101100110,1,2,16.0,4.0,0.2886751345948129,1
1001,101100111,1,2,14.0,5.0,0.2886751345948129,0
1002,101101000,1,2,16.0,4.0,0.19188064472004937,0
1003,101101001,1,2,14.0,5.0,0.26490647141300877,0
1004,101101010,1,2,16.0,4.0,0.19188064472004937,0
1005,101101011,1,2,14.0,5.0,0.26490647141300877,0
1006,101101100,1,2,16.0,4.0,0.22499999999999998,0
1007,101101101,1,2,14.0,5.0,0.280056016805602,0
1008,101101110,1,2,16.0,4.0,0.22499999999999998,0
1009,101101111,1,2,14.0,5.0,0.280056016805602,0
1010,101110000,1,2,16.0,4.0,0.2882306768491569,1
1011,101110001,1,2,14.0,5.0,0.33436692754521175,0
1012,101110010,1,2,16.0,4.0,0.16984155512168939,0
1013,101110011,1,2,14.0,5.0,0.2867696673382022,0
1014,101110100,1,2,16.0,4.0,0.3674234614174767,1
1015,101110101,1,2,14.0,5.0,0.3499271061118826,0
1016,101110110,1,2,16.0,4.0,0.21650635094610968,0
1017,101110111,1,2,14.0,5.0,0.30316953129541624,0
1018,101111000,1,2,16.0,4.0,0.1846372364689991,0
1019,101111001,1,2,14.0,5.0,0.27668578554642986,0
1020,101111010,1,2,16.0,4.0,0.1846372364689991,0
1021,101111011,1,2,14.0,5.0,0.27668578554642986,0
1022,101111100,1,2,16.0,4.0,0.21650635094610968,0
1023,101111101,1,2,14.0,5.0,0.29250896965085227,0
1024,101111110,1,2,16.0,4.0,0.21650635094610968,0
1025,101111111,1,2,14.0,5.0,0.29250896965085227,0
1026,110000011,2,2,13.0,4.0,0.1863230537914146,0
1027,110000101,1,2,14.0,5.0,0.3628873693012116,0
1028,110000110,1,2,16.0,4.0,0.2886751345948129,1
1029,110000111,1,2,14.0,5.0,0.2886751345948129,0
1030,110001001,1,2,14.0,5.0,0.26490647141300877,0
1031,110001010,1,2,16.0,4.0,0.19188064472004937,0
1032,110001011,1,2,14.0,5.0,0.26490647141300877,0
1033,110001100,1,2,16.0,4.0,0.22499999999999998,0
1034,110001101,1,2,14.0,5.0,0.280056016805602,0
1035,110001110,1,2,16.0,4.0,0.22499999999999998,0
1036,110001111,1,2,14.0,5.0,0.280056016805602,0
1037,110010001,1,2,14.0,5.0,0.33436692754521175,0
1038,110010010,1,2,16.0,4.0,0.16984155512168939,0
1039,110010011,1,2,14.0,5.0,0.2867696673382022,0
1040,110010100,1,2,16.0,4.0,0.3674234614174767,1
1041,110010101,1,2,14.0,5.0,0.3499271061118826,0
1042,110010110,1,2,16.0,4.0,0.21650635094610968,0
1043,110010111,1,2,14.0,5.0,0.30316953129541624,0
1044,110011000,1,2,16.0,4.0,0.1846372364689991,0
1045,110011001,1,2,14.0,5.0,0.27668578554642986,0
1046,110011010,1,2,16.0,4.0,0.1846372364689991,0
1047,110011011,1,2,14.0,5.0,0.27668578554642986,0
