,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,110,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
1,1010,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
2,111,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
3,100,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
4,11,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
5,1110,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
6,1011,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
7,10,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
8,1111,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
9,1100,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
10,1101,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
11,1000,0,102,5,0.136082763,2.217821782,0.450892857,1.454967044,44,0
12,10010,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
13,1001,0,102,5,0.136082763,2.217821782,0.450892857,1.454967044,44,0
14,101,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
15,10110,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
16,10011,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
17,10101,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
18,10111,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
19,11011,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
20,11000,0,62,9,0.026207121,2.245901639,0.445255474,2.010881968,37,0
21,10100,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
22,11010,0,8,10,0.038575837,12.85714286,0.077777778,0,0,0
23,11110,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
24,11001,0,62,9,0.026207121,2.245901639,0.445255474,2.010881968,37,0
25,11100,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
26,11111,0,8,10,0.041666667,12.85714286,0.077777778,0,0,0
27,11101,0,20,4,0.149071198,4.894736842,0.204301075,1.688875929,3,0
28,1000,1,54,21,0.372951254,4.169811321,0.479638009,1.999146947,19,0
29,101,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
30,100,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
31,1001,1,54,21,0.372951254,4.169811321,0.479638009,1.999146947,19,0
32,1100,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
33,1101,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
34,10100,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
35,10101,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
36,11001,1,38,10,0.155699789,3.216216216,0.621848739,8.876078416,26,0
37,11000,1,38,10,0.155699789,3.216216216,0.621848739,8.876078416,26,0
38,11100,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
39,11101,1,12,1,0.43643578,2.181818182,0.916666667,0.024042074,8,0
40,100,2,10,0,0.710046947,10,0.3,0,1,1
41,101,2,10,0,0.710046947,10,0.3,0,1,1
42,10000,0,126,8,0.013781637,1.096,0.912408759,0.008994816,122,0
43,1101,2,10,0,0.710046947,10,0.3,0,1,1
