,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,1000,0,265,7,0.1,2.087121212,0.479128857,0.843964405,94,0
1,1001,0,265,7,0.1,2.087121212,0.479128857,0.843964405,94,0
2,111,0,25,6,0.125,4.708333333,0.212389381,0,0,0
3,110,0,25,6,0.125,4.708333333,0.212389381,0,0,0
4,11,0,31,8,0.058925565,5.1,0.196078431,0,0,0
5,10,0,31,8,0.058925565,5.1,0.196078431,0,0,0
6,1011,0,31,8,0.058925565,5.1,0.196078431,0,0,0
7,1110,0,25,6,0.125,4.708333333,0.212389381,0,0,0
8,1111,0,25,6,0.125,4.708333333,0.212389381,0,0,0
9,101,0,58,28,0.024304449,2.701754386,0.37012987,1.704724261,26,0
10,100,0,58,28,0.024304449,2.701754386,0.37012987,1.704724261,26,0
11,10010,0,31,8,0.058925565,5.1,0.196078431,0,0,0
12,10110,0,25,6,0.125,4.708333333,0.212389381,0,0,0
13,10111,0,25,6,0.125,4.708333333,0.212389381,0,0,0
14,1010,0,31,8,0.058925565,5.1,0.196078431,0,0,0
15,10011,0,31,8,0.058925565,5.1,0.196078431,0,0,0
16,1100,0,58,28,0.024304449,2.701754386,0.37012987,1.704724261,26,0
17,1101,0,58,28,0.024304449,2.701754386,0.37012987,1.704724261,26,0
18,11010,0,31,8,0.058925565,5.1,0.196078431,0,0,0
19,11011,0,31,8,0.058925565,5.1,0.196078431,0,0,0
20,10101,0,58,28,0.02843123,2.701754386,0.37012987,1.704724261,26,0
21,10100,0,58,28,0.02843123,2.701754386,0.37012987,1.704724261,26,0
22,11111,0,25,6,0.125,4.708333333,0.212389381,0,0,0
23,11110,0,25,6,0.125,4.708333333,0.212389381,0,0,0
24,10,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
25,11100,0,58,28,0.02843123,2.701754386,0.37012987,1.704724261,26,0
26,11000,0,127,7,0.121267813,1.373015873,0.728323699,0.211317272,84,0
27,11001,0,127,7,0.121267813,1.373015873,0.728323699,0.211317272,84,0
28,11101,0,58,28,0.02843123,2.701754386,0.37012987,1.704724261,26,0
29,11,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
59,101,2,20,0,0.774596669,12,0.25,0,9,1
31,100,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
32,1010,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
60,100,2,20,0,0.774596669,12,0.25,0,9,1
34,1011,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
35,101,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
36,1001,1,165,8,0.249878019,3.292682927,0.607407407,0.931334426,54,0
68,1101,2,20,0,0.774596669,12,0.25,0,9,1
38,1100,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
39,1101,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
40,10010,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
41,1000,1,165,8,0.249878019,3.292682927,0.607407407,0.931334426,54,0
70,1100,2,20,0,0.774596669,12,0.25,0,9,1
43,10011,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
73,10100,2,20,0,0.774596669,12,0.25,0,9,1
74,10101,2,20,0,0.774596669,12,0.25,0,9,1
46,10100,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
47,10101,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
48,11010,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
49,11011,1,27,11,0.316227766,5.115384615,0.390977444,0,0,0
81,11100,2,20,0,0.774596669,12,0.25,0,9,1
83,11101,2,20,0,0.774596669,12,0.25,0,9,1
52,11101,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
53,10,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
54,11100,1,36,9,0.159363815,6.6,0.303030303,9.36,15,0
55,11,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
56,11000,1,85,4,0.577350269,1.833333333,1.090909091,1.114087302,51,0
57,11001,1,85,4,0.577350269,1.833333333,1.090909091,1.114087302,51,0
58,110,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
84,100,3,20,0,0.316227766,12,0.416666667,0,9,0
85,101,3,20,0,0.316227766,12,0.416666667,0,9,0
61,111,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
62,1010,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
63,1011,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
64,1001,2,107,68,0.360399279,5.094339623,0.588888889,4.802857392,48,0
65,1110,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
66,1000,2,107,68,0.360399279,5.094339623,0.588888889,4.802857392,48,0
67,1111,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
88,1101,3,20,0,0.316227766,12,0.416666667,0,9,0
69,10010,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
89,1100,3,20,0,0.316227766,12,0.416666667,0,9,0
71,10011,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
72,10110,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
91,10100,3,20,0,0.316227766,12,0.416666667,0,9,0
92,10101,3,20,0,0.316227766,12,0.416666667,0,9,0
75,10111,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
76,11010,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
77,11011,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
78,11000,2,60,4,0.456435465,4,0.75,2.576271186,19,0
79,11001,2,60,4,0.456435465,4,0.75,2.576271186,19,0
80,11110,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
96,11100,3,20,0,0.316227766,12,0.416666667,0,9,0
82,11111,2,15,24,0.149071198,16.28571429,0.184210526,0,0,0
