,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,110,0,9,0,0.149071198,5,0.2,0,0,1
1,10,0,9,0,0.149071198,5,0.2,0,0,1
2,1110,0,9,0,0.149071198,5,0.2,0,0,1
3,1101,0,46,4,0.19245009,2,0.5,1.266666667,28,0
4,11,0,9,0,0.149071198,5,0.2,0,0,1
5,100,0,46,4,0.19245009,2,0.5,1.266666667,28,0
6,1111,0,9,0,0.149071198,5,0.2,0,0,1
7,111,0,9,0,0.149071198,5,0.2,0,0,1
8,1100,0,46,4,0.19245009,2,0.5,1.266666667,28,0
9,101,0,46,4,0.19245009,2,0.5,1.266666667,28,0
10,10010,0,9,0,0.149071198,5,0.2,0,0,1
11,1000,0,89,7,0.105409255,1.477272727,0.676923077,0.386328418,60,0
12,1001,0,89,7,0.105409255,1.477272727,0.676923077,0.386328418,60,0
13,1010,0,9,0,0.149071198,5,0.2,0,0,1
14,10011,0,9,0,0.149071198,5,0.2,0,0,1
15,1011,0,9,0,0.149071198,5,0.2,0,0,1
16,10111,0,9,0,0.149071198,5,0.2,0,0,1
17,11010,0,9,0,0.149071198,5,0.2,0,0,1
18,11011,0,9,0,0.149071198,5,0.2,0,0,1
19,10110,0,9,0,0.149071198,5,0.2,0,0,1
20,10101,0,37,3,0.144337567,1.361111111,0.734693878,0.281035665,27,0
21,10100,0,37,3,0.144337567,1.361111111,0.734693878,0.281035665,27,0
22,11100,0,37,3,0.144337567,1.361111111,0.734693878,0.281035665,27,0
23,11001,0,45,1,0.223606798,1.113636364,0.897959184,0.064718727,38,0
24,11000,0,45,1,0.223606798,1.113636364,0.897959184,0.064718727,38,0
25,11110,0,9,0,0.149071198,5,0.2,0,0,1
26,11111,0,9,0,0.149071198,5,0.2,0,0,1
27,101,1,29,4,0.550019098,1.75,1.142857143,0.910714286,19,0
28,1000,1,61,4,0.665640235,1.266666667,1.578947368,0.261925926,52,0
29,11101,0,37,3,0.144337567,1.361111111,0.734693878,0.281035665,27,0
