,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,1000,0,149,8,0.024325213,1.945945946,0.513888889,0.700111543,60,0
1,1001,0,149,8,0.024325213,1.945945946,0.513888889,0.700111543,60,0
2,1011,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
3,110,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
4,111,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
5,1110,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
6,10,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
7,1010,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
8,11,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
9,1111,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
10,1100,0,37,12,0.113227703,3.611111111,0.276923077,8.298868313,20,0
11,100,0,37,12,0.113227703,3.611111111,0.276923077,8.298868313,20,0
12,101,0,37,12,0.113227703,3.611111111,0.276923077,8.298868313,20,0
13,1101,0,37,12,0.113227703,3.611111111,0.276923077,8.298868313,20,0
14,10110,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
15,10111,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
16,10010,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
17,10100,0,37,12,0.116247639,3.611111111,0.276923077,8.298868313,20,0
18,10011,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
19,10101,0,37,12,0.116247639,3.611111111,0.276923077,8.298868313,20,0
20,11110,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
21,11111,0,14,2,0.169030851,9.384615385,0.213114754,0,0,0
22,11011,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
23,11000,0,79,3,0.084515425,1.717948718,0.582089552,1.1326725,48,0
24,11001,0,79,3,0.084515425,1.717948718,0.582089552,1.1326725,48,0
25,11010,0,14,2,0.144337567,9.384615385,0.213114754,0,0,0
26,11,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
27,10,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
28,111,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
29,110,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
30,11100,0,37,12,0.116247639,3.611111111,0.276923077,8.298868313,20,0
31,11101,0,37,12,0.116247639,3.611111111,0.276923077,8.298868313,20,0
32,1001,1,79,14,0.198332207,3.628205128,0.551236749,3.749243497,51,0
33,1011,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
34,1010,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
35,100,1,21,32,0.216127023,6.45,0.310077519,16.476875,10,0
36,1000,1,79,14,0.198332207,3.628205128,0.551236749,3.749243497,51,0
37,1110,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
38,1111,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
39,10010,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
40,1100,1,21,32,0.216127023,6.45,0.310077519,16.476875,10,0
41,10011,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
42,1101,1,21,32,0.216127023,6.45,0.310077519,16.476875,10,0
43,10111,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
44,10110,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
45,101,1,21,32,0.216127023,6.45,0.310077519,16.476875,10,0
46,11010,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
47,10100,1,21,32,0.219426863,6.45,0.310077519,16.476875,10,0
48,10101,1,21,32,0.219426863,6.45,0.310077519,16.476875,10,0
49,11011,1,14,2,0.144337567,9.384615385,0.213114754,0,0,0
50,11110,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
51,11111,1,14,2,0.169030851,9.384615385,0.213114754,0,0,0
