,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,10,0,12,0,0.158113883,4,0.25,0,0,1
1,111,0,12,0,0.158113883,4,0.25,0,0,1
2,110,0,12,0,0.158113883,4,0.25,0,0,1
3,1110,0,12,0,0.158113883,4,0.25,0,0,1
4,1111,0,12,0,0.158113883,4,0.25,0,0,1
5,1010,0,12,0,0.158113883,4,0.25,0,0,1
6,100,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
7,1100,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
8,11,0,12,0,0.158113883,4,0.25,0,0,1
9,1101,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
10,101,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
11,1011,0,12,0,0.158113883,4,0.25,0,0,1
12,10010,0,12,0,0.158113883,4,0.25,0,0,1
13,1001,0,106,5,0.188982237,1.923809524,0.51980198,0.300837491,65,0
14,10110,0,12,0,0.158113883,4,0.25,0,0,1
15,10111,0,12,0,0.158113883,4,0.25,0,0,1
16,1000,0,106,5,0.188982237,1.923809524,0.51980198,0.300837491,65,0
17,10011,0,12,0,0.158113883,4,0.25,0,0,1
18,11010,0,12,0,0.158113883,4,0.25,0,0,1
19,10101,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
20,11110,0,12,0,0.158113883,4,0.25,0,0,1
21,10100,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
22,11011,0,12,0,0.158113883,4,0.25,0,0,1
23,10001,0,81,1,0.138675049,1.075,0.930232558,0.058609375,73,0
24,11000,0,44,0,0.138675049,2,0.5,0,36,0
25,11001,0,44,0,0.138675049,2,0.5,0,36,0
26,11111,0,12,0,0.158113883,4,0.25,0,0,1
27,10000,0,81,1,0.138675049,1.075,0.930232558,0.058609375,73,0
28,11101,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
29,11100,0,37,2,0.166666667,2.333333333,0.428571429,0.472222222,23,0
